STATE,RAINFALL C,RAINFALL NC,RAINFALL PQ,RAINFALL Total
ANDAMAN AND NICOBAR ISLANDS,0,2953.871819,2805.2,2952.907378
ANDHRA PRADESH,877.1623156,884.6560574,1042.625866,891.9864781
ARUNACHAL PRADESH,0,3318.777526,0,3318.777526
ASSAM,0,2362.111013,0,2362.111013
BIHAR,1211.456527,1200.341755,0,1202.46118
CHANDIGARH,0,1009.8,0,1009.8
CHHATTISGARH,1305.61172,1343.318496,0,1338.432973
DADRA AND NAGAR HAVELI,2265.7,2265.7,0,2265.7
DAMAN AND DIU,1802.391404,0,0,1709.102615
DELHI,0,652,0,652
GOA,3409.79892,3347.123506,0,3355.268567
GUJARAT,930.3556541,0,645.1575394,855.9471995
HARYANA,522.7717133,0,0,486.2841855
HIMACHAL PRADESH,0,1592.936505,0,1592.936505
JAMMU AND KASHMIR,1346.791091,1150.694206,0,1180.194698
JHARKHAND,0,1318.53796,0,1306.333271
KARNATAKA,697.0727986,1179.061326,0,1035.073615
KERALA,0,2800.097112,0,2800.097112
LADAKH,0,69.35545171,0,69.35545171
LAKSHDWEEP,0,1832.626997,0,1832.626997
MADHYA PRADESH,1067.272683,1083.946696,0,1082.116056
MAHARASHTRA,852.2243079,1079.02075,682.2459404,1039.980055
MANIPUR,0,1731.868292,0,1731.868292
MEGHALAYA,0,3074.773135,0,3074.773135
MIZORAM,0,2091.386288,0,2091.386288
NAGALAND,0,1768.173192,0,1768.173192
ODISHA,1398.326811,1414.71894,1556.827521,1419.20343
PUDUCHERRY,0,1500.302256,0,1247.394161
PUNJAB,595.1806279,0,383.2301555,579.6653733
RAJASTHAN,647.7444742,552.7668604,286.710042,477.062404
SIKKIM,0,2459.466845,0,2459.466845
TAMILNADU,1027.590329,919.4198179,1094.81751,924.9132599
TELANGANA,936.9192954,918.4952152,0,923.9882525
TRIPURA,0,2273.611813,0,2273.611813
UTTAR PRADESH,886.9352128,812.4613824,0,886.7539041
UTTARAKHAND,1537.590976,0,0,1537.590976
WEST BENGAL,1440.767987,1867.254599,1632.271095,1737.849814
TOTAL,888.4288861,1189.04598,540.4129708,1055.266207
